Name, Latitude, Longitude
Creag a' Ghlas-uillt,56.943172,-3.24737
Carn Sasunnaich,56.506147,-4.72314
Crib y Ddysgl,53.075519,-4.07518
Carnedd Llewelyn,53.160168,-3.970333
Cairn of Claise,56.894179,-3.338638
Ciste Dhubh East Top,57.271052,-5.11488
An Teallach - Bidein a' Ghlas Thuill,57.807098,-5.251767
Binnein Mor South Top,56.74842,-4.927181
Airgiod Bheinn,56.827794,-3.702721
Stob Dubh an Eas Bhig,57.084954,-3.431259
An Teallach - Sgurr Fiona,57.800726,-5.259443
An Socach East Top,57.351244,-5.152903
Rubha na Spreidhe,57.373758,-5.056502
Creag Coire nan Each,57.260493,-5.129265
Liathach - Spidean a' Choire Leith,57.564197,-5.463609
Na Gruagaichean,56.743699,-4.939851
Stob Poite Coire Ardair,56.964037,-4.585762
Toll Creagach,57.309228,-4.999937
Sgurr a' Chaorachain,57.452501,-5.189284
Creag an Leth-choin,57.109637,-3.704749
An Leth-chreag,57.295887,-5.065195
Glas Tulaichean,56.865757,-3.558163
Carn Ban Mor,57.052556,-3.825262
Stob Poite Coire Ardair East Top,56.967592,-4.572006
Geal Charn,56.897763,-4.457236
Eagles Rock,56.939632,-3.255421
Sgurr Fhuar-thuill,57.44968,-4.94178
Beinn a' Chaorainn,56.928624,-4.653644
Beinn a' Chaorainn South Top,56.923727,-4.652737
Corrag Bhuidhe,57.79848,-5.257977
Creag an Fhithich,56.552244,-4.220964
Carn an t-Sagairt Mor,56.942973,-3.303227
Mullach Fraoch-choire NE Top,57.207541,-5.148665
Creag Mhor,56.489519,-4.614038
Bidean an Eoin Deirg,57.44946,-5.162161
Chno Dearg,56.830077,-4.66083
Ben Wyvis - Glas Leathad Mor,57.678914,-4.57925
Cruach Ardrain,56.356438,-4.576152
Beinn Iutharn Mhor,56.894994,-3.568229
Cruach Ardrain SW Top,56.355485,-4.577884
Stob Coir' an Albannaich,56.554903,-4.979809
Carn an t-Sagairt Beag,56.948354,-3.289457
Carnedd Dafydd,53.147738,-4.000839
Meall nan Tarmachan,56.521673,-4.301344
Carn Mairg,56.634635,-4.145624
Beinn a' Chaorainn North Top,56.934283,-4.657597
Bidein a' Ghlas Thuill East Top,57.806604,-5.250005
Stuc Mor,57.267593,-5.229415
Sgurr na Ciche,57.013468,-5.456905
Little Cairngorm,57.055759,-3.616982
Meall Ghaordaidh,56.525809,-4.416654
Na Gruagaichean NW Top,56.745784,-4.943302
Beinn Achaladair,56.551909,-4.694515
Carrauntoohil,51.999471,-9.742687
An Riabhachan West Top,57.355408,-5.131242
Sgurr na Lapaich,57.272766,-5.063123
Carn a' Mhaim,57.036871,-3.658384
Sgurr a' Bhealaich Dheirg,57.177825,-5.252177
Gleouraich,57.097163,-5.238035
Carn Dearg,56.855242,-4.454693
Tom a' Choinich Beag,57.29891,-5.059552
Beinn Fhada,57.221002,-5.283519
Am Bodach,56.74173,-4.98337
Lord Berkeley's Seat,57.799209,-5.258632
Creag Ghorm a' Bhealaich,57.447794,-4.926674
Ben Oss,56.389027,-4.775179
Carn Gorm,56.622537,-4.226021
Stob an Fhir-Bhogha,56.500309,-4.582458
Carn an Righ,56.876583,-3.595273
Sgor Iutharn,56.836302,-4.477177
Sron a' Cha-no,57.135408,-3.626782
Meall Coire Choille-rais,56.941068,-4.577841
Stob Coire Dheirg,56.538705,-5.040652
Sgurr a' Mhaoraich,57.105849,-5.330509
Sgurr na Ciste Duibhe,57.180924,-5.337134
Meall Garbh,56.515533,-4.312058
Creag an Leth-choin North Top,57.115013,-3.704533
Beinn Challuim,56.454573,-4.619184
Drochaid Ghlas,56.430081,-5.109858
Beinn a' Bheithir - Sgorr Dhearg,56.65393,-5.171511
Sron Garbh,56.896972,-4.448973
Liathach - Mullach an Rathain,57.560875,-5.492498
West Meur Gorm Craig,57.116137,-3.399597
Buachaille Etive Mor - Stob Dearg,56.646228,-4.900377
Carn Dearg (SW),56.785888,-5.020826
Ladhar Bheinn,57.075263,-5.591745
Aonach air Chrith,57.12464,-5.221291
Beinn Bheoil,56.813276,-4.430662
Mullach Clach a' Bhlair,57.011879,-3.841271
Carn an Tuirc,56.908265,-3.357125
A' Choinneach,57.124185,-3.600355
Sgurr Creag an Eich,57.801702,-5.273859
Beinn a' Chaorainn Bheag,57.096727,-3.557591
Mullach Coire Mhic Fhearchair,57.708995,-5.271357
Sgurr na Fearstaig,57.449186,-4.954411
Stacan Dubha,57.094078,-3.632333
Meall Liath,56.634501,-4.132474
Garbh Chioch Mhor,57.008556,-5.444322
Beinn Ime,56.236794,-4.817125
Cairn Bannoch,56.927728,-3.278403
The Saddle,57.162395,-5.414721
The Saddle - Trig Point,57.161822,-5.416621
Stob na Doire,56.636825,-4.924236
Beinn Udlamain,56.835444,-4.329976
Sgurr Eilde Mor,56.750006,-4.895435
Carn Beag Dearg,56.817786,-4.997465
Sgurr an Doire Leathain,57.13687,-5.281531
Beinn Eighe - Ruadh-stac Mor,57.593735,-5.429454
Braigh a' Choire Bhig,57.354011,-5.065336
Beinn Dearg,56.877346,-3.883719
Beenkeragh,52.006806,-9.746248
Stob Coire na Craileig,57.19769,-5.160808
Beinn na Socaich,56.819284,-4.891356
The Devil's Point,57.03571,-3.688803
An Sgarsoch,56.932109,-3.754294
Carn Liath,56.978793,-4.515289
Creag Coire na Fiar Bhealaich,57.095382,-5.225197
An t-Socach,57.677363,-4.566257
Creag Toll a' Choin,57.459567,-5.117655
Maoile Lunndaidh,57.464477,-5.111002
Beinn Fhionnlaidh,57.305977,-5.129909
Beinn an Dothaidh,56.53013,-4.713981
Sgurr an Lochain,57.141288,-5.297466
Beinn Achaladair South Top,56.541126,-4.697702
Meall a' Bharr,56.636875,-4.172903
Sgurr Mor,57.028446,-5.354206
Bidein a' Ghlas Thuill Far East Top,57.806179,-5.247289
Beinn a' Bheithir - Sgorr Dhonuill,56.650531,-5.19789
Sgurr na Carnach,57.189034,-5.349224
Sron a' Choire,56.955058,-4.553
Meall Greigh,56.567417,-4.159559
Aonach Meadhoin,57.173026,-5.229166
Glyder Fawr,53.10147,-4.029164
